
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      65752, Nsync-hyd:      65752
Sync-Point 75, Time: 0.591797, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       6343

Sync-Point 76, Time: 0.594727, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:        362

Sync-Point 77, Time: 0.597656, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 78, Time: 0.600586, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:        523

Sync-Point 79, Time: 0.603516, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       7000

Sync-Point 80, Time: 0.606445, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:        708

Sync-Point 81, Time: 0.609375, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 82, Time: 0.612305, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:        908

Sync-Point 83, Time: 0.615234, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       7635

Sync-Point 84, Time: 0.618164, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       1107

Sync-Point 85, Time: 0.621094, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 86, Time: 0.624023, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       1304

Sync-Point 87, Time: 0.626953, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       8311

Sync-Point 88, Time: 0.629883, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       1588

Sync-Point 89, Time: 0.632812, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 90, Time: 0.635742, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       1865

Sync-Point 91, Time: 0.638672, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       9006

Sync-Point 92, Time: 0.641602, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       2193

Sync-Point 93, Time: 0.644531, Systemstep: 0.00292969, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 94, Time: 0.647461, Systemstep: 0.00292969, Nsync-grv:          0, Nsync-hyd:       2465

